Original MSA,Matched MSA,CBSA Code,Confidence,Check
"Poughkeepsie-Newburgh-Middletown, NY","Kiryas Joel-Poughkeepsie-Newburgh, NY",28880,85.5,Y
"Salt Lake City, UT","Salt Lake City-Murray, UT",41620,85.5,Y
"San Francisco-Oakland-Berkeley, CA","San Francisco-Oakland-Fremont, CA",41860,85.5,Y
"Sebastian-Vero Beach, FL","Sebastian-Vero Beach-West Vero Corridor, FL",42680,85.5,Y
"Sebring-Avon Park, FL","Sebring, FL",42700,85.5,Y
"Staunton, VA","Staunton-Stuarts Draft, VA",44420,85.5,Y
"Stockton, CA","Stockton-Lodi, CA",44700,85.5,Y
"Blacksburg-Christiansburg, VA","Blacksburg-Christiansburg-Radford, VA",13980,87.87878788,Y
"Greenville-Anderson, SC","Greenville-Anderson-Greer, SC",24860,88.46153846,Y
"Salisbury, MD-DE","Salisbury, MD",41540,89.65517241,Y
"Worcester, MA-CT","Worcester, MA",49340,89.65517241,Y
"The Villages, FL","Wildwood-The Villages, FL",48680,90,Y
"Evansville, IN-KY","Evansville, IN",21780,90.32258065,Y
"Chicago-Naperville-Elgin, IL-IN-WI","Chicago-Naperville-Elgin, IL-IN",16980,95.38461538,Y
"New York-Newark-Jersey City, NY-NJ-PA","New York-Newark-Jersey City, NY-NJ",35620,95.77464789,Y
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC","Myrtle Beach-Conway-North Myrtle Beach, SC",34820,96.55172414,Y
"Abilene, TX","Abilene, TX",10180,100,Y
"Albany, GA","Albany, GA",10500,100,Y
"Albany-Schenectady-Troy, NY","Albany-Schenectady-Troy, NY",10580,100,Y
"Akron, OH","Akron, OH",10420,100,Y
"Albuquerque, NM","Albuquerque, NM",10740,100,Y
"Alexandria, LA","Alexandria, LA",10780,100,Y
"Allentown-Bethlehem-Easton, PA-NJ","Allentown-Bethlehem-Easton, PA-NJ",10900,100,Y
